datetime,direction,score,pos_size,tp_pct,sl_pct,result,pnl,capital_after,conf_4h,conf_15m,atr_pct
2024-10-29 22:00:00,LONG,70.17,24.24,0.9552,0.6368,LOSS,-0.2027,997.07,0.8047,0.5461,0.4245
2024-10-29 23:45:00,LONG,51.79,19.94,0.8808,0.5872,LOSS,-0.1569,996.91,0.8047,0.5279,0.3914
2024-10-30 11:45:00,LONG,59.26,19.94,0.5048,0.3365,LOSS,-0.1069,996.8,0.6941,0.5721,0.2244
2024-10-30 12:30:00,LONG,61.44,19.94,0.5684,0.3789,LOSS,-0.1153,996.69,0.6761,0.5676,0.2526
2024-10-30 13:15:00,LONG,67.12,19.93,0.6028,0.4019,LOSS,-0.1199,996.57,0.6761,0.5772,0.2679
2024-11-06 02:15:00,LONG,74.71,19.93,1.4879,0.9919,WIN,0.2564,996.83,0.6974,0.5887,0.6613
2024-11-06 03:00:00,LONG,75.44,19.94,1.7818,1.1879,WIN,0.315,997.14,0.6974,0.593,0.7919
2024-11-06 03:45:00,LONG,75.56,19.94,1.8333,1.2222,LOSS,-0.2834,996.86,0.6974,0.5877,0.8148
2024-11-06 08:00:00,LONG,62.94,19.94,2.064,1.376,WIN,0.3712,997.23,0.5912,0.5971,0.9173
2024-11-06 08:45:00,LONG,62.73,19.94,1.9778,1.3186,WIN,0.3542,997.58,0.5912,0.5921,0.879
2024-11-06 09:30:00,LONG,62.31,19.95,1.8079,1.2053,WIN,0.3204,997.9,0.5912,0.5972,0.8035
2024-11-06 10:15:00,LONG,59.82,23.76,1.6541,1.1027,WIN,0.3451,998.25,0.5912,0.5668,0.7352
2024-11-07 04:30:00,LONG,52.3,30.04,0.7931,0.5287,WIN,0.1779,998.43,0.5597,0.5633,0.3525
2024-11-07 06:00:00,LONG,54.79,35.98,0.7096,0.473,WIN,0.1831,998.61,0.5597,0.572,0.3154
2024-11-11 06:15:00,LONG,51.95,41.61,1.1064,0.7376,WIN,0.3767,998.99,0.6036,0.5363,0.4917
2024-11-11 07:00:00,LONG,51.37,46.96,1.0445,0.6964,WIN,0.3961,999.38,0.6036,0.5429,0.4642
2024-11-11 15:15:00,LONG,66.07,52.05,1.2533,0.8356,WIN,0.5476,999.93,0.5954,0.571,0.557
2024-11-11 16:00:00,LONG,63.76,56.91,1.3516,0.9011,LOSS,-0.6261,999.3,0.5627,0.5904,0.6007
2024-11-11 17:00:00,LONG,63.82,51.55,1.3783,0.9189,WIN,0.6067,999.91,0.5627,0.5574,0.6126
2024-11-11 18:45:00,LONG,57.26,56.2,1.4051,0.9367,WIN,0.6764,1000.59,0.5627,0.5438,0.6245
2024-11-11 19:30:00,LONG,64.29,60.64,1.5672,1.0448,WIN,0.8282,1001.42,0.5627,0.5951,0.6966
2024-11-11 20:15:00,LONG,57.26,64.91,1.6292,1.0861,WIN,0.9266,1002.34,0.5759,0.5403,0.7241
2024-11-11 21:00:00,LONG,65.98,69.0,1.6132,1.0754,WIN,0.974,1003.32,0.5759,0.5848,0.717
2024-11-11 21:45:00,LONG,66.03,72.94,1.6323,1.0882,LOSS,-0.9388,1002.38,0.5759,0.54,0.7255
2024-11-11 22:30:00,LONG,66.28,67.87,1.7349,1.1566,WIN,1.0406,1003.42,0.5759,0.58,0.7711
2024-11-12 00:00:00,LONG,51.59,71.67,2.0254,1.3503,WIN,1.3069,1004.72,0.5611,0.5678,0.9002
